tracking_id	15_1	15_2	15_3	16_1	16_2	16_3
ENSG00000177370	29.6342	32.1856	28.1929	29.9764	35.1386	34.7913
ENSG00000177380	4.03397	3.35162	2.87401	4.61396	3.31136	4.62553
ENSG00000177383	65.3309	67.302	60.296	58.3846	62.2307	69.5452
ENSG00000177409	16.221	21.3509	27.4475	32.3337	34.0522	39.3586
ENSG00000177410	51.8506	54.9787	47.2385	43.8799	55.0168	40.467
ENSG00000177425	45.706	12.8124	9.49977	26.904	8.96854	13.727
ENSG00000177426	130.812	131.757	138.143	125.214	136.882	160.447
ENSG00000177427	13.6486	13.1369	16.1313	12.5953	14.7609	14.4797
ENSG00000177432	6.14205	8.45761	7.26729	7.26858	7.6785	6.58438
ENSG00000177463	10.2032	9.22742	8.63859	9.43675	5.19074	6.53286
ENSG00000177469	61.7674	34.2059	27.4774	52.853	25.5561	34.84
ENSG00000177479	56.8749	71.2443	66.4358	83.1659	83.6382	77.9035
ENSG00000177485	14.4236	17.4032	17.6149	16.8275	16.4789	16.4758
ENSG00000177519	19.4367	19.7181	18.4886	16.9187	13.7165	19.606
ENSG00000177542	17.8006	17.5826	18.8501	18.4767	18.6539	19.9861
ENSG00000177548	20.0485	13.3282	18.3357	16.2683	11.232	19.3132
ENSG00000177556	141.262	156.291	139.347	167.765	181.232	181.705
ENSG00000177565	25.1003	25.8135	30.9357	52.8279	27.5115	35.021
ENSG00000177570	0.38232	1.04912	0.739049	1.88122	1.55904	0.279564
ENSG00000177576	31.9976	38.2546	29.6998	29.5749	26.744	30.2672
ENSG00000177595	10.4668	7.42422	11.141	7.35824	9.87215	7.73917
ENSG00000177600	444.875	430.505	399.557	372.982	466.988	392.485
ENSG00000177602	1.30368	1.33734	1.25558	1.72992	1.30841	2.15902
ENSG00000177606	36.1717	17.1967	12.1815	31.6833	12.864	19.8745
ENSG00000177613	17.2525	18.3273	19.0494	15.9786	14.7367	14.0464
ENSG00000177628	40.7907	40.4944	46.0382	48.7952	54.5382	63.3813
ENSG00000177640	2.88611	2.06038	3.06809	2.06361	2.1907	2.24234
